DATE,IPG2211A2N
1985-01-01,72.6803
1985-02-01,70.8479
1985-03-01,62.6166
1985-04-01,57.6106
1985-05-01,55.4467
1985-06-01,58.2228
1985-07-01,62.7591
1985-08-01,63.3921
1985-09-01,60.7507
1985-10-01,56.4553
1985-11-01,58.1385
1985-12-01,68.8758
1986-01-01,73.4956
1986-02-01,68.1637
1986-03-01,62.3923
1986-04-01,57.1915
1986-05-01,55.9599
1986-06-01,60.0336
1986-07-01,65.9077
1986-08-01,64.6450
1986-09-01,61.1742
1986-10-01,57.6978
1986-11-01,59.4964
1986-12-01,68.3302
1987-01-01,74.0173
1987-02-01,70.2540
1987-03-01,65.7966
1987-04-01,60.3229
1987-05-01,59.0245
1987-06-01,64.0345
1987-07-01,69.0282
1987-08-01,70.2369
1987-09-01,64.2987
1987-10-01,60.5402
1987-11-01,62.6219
1987-12-01,70.7671
1988-01-01,80.0833
1988-02-01,76.3631
1988-03-01,70.4954
1988-04-01,63.4244
1988-05-01,61.5776
1988-06-01,67.2741
1988-07-01,73.1676
1988-08-01,75.9479
1988-09-01,67.7223
1988-10-01,63.4592
1988-11-01,65.2706
1988-12-01,74.0492
1989-01-01,78.1368
1989-02-01,76.8499
1989-03-01,73.5377
1989-04-01,65.2676
1989-05-01,63.8617
1989-06-01,68.6587
1989-07-01,74.2491
1989-08-01,75.2704
1989-09-01,69.5107
1989-10-01,66.0620
1989-11-01,69.2555
1989-12-01,84.4040
1990-01-01,84.6447
1990-02-01,77.4221
1990-03-01,73.4205
1990-04-01,67.4636
1990-05-01,66.0145
1990-06-01,71.6535
1990-07-01,76.8376
1990-08-01,77.3265
1990-09-01,73.2770
1990-10-01,67.6237
1990-11-01,68.7675
1990-12-01,77.9179
1991-01-01,86.2914
1991-02-01,77.8027
1991-03-01,73.6061
1991-04-01,67.3549
1991-05-01,69.0228
1991-06-01,75.0839
1991-07-01,80.3488
1991-08-01,79.4052
1991-09-01,73.8126
1991-10-01,68.9572
1991-11-01,72.7156
1991-12-01,79.7391
1992-01-01,85.5560
1992-02-01,80.4178
1992-03-01,74.7390
1992-04-01,69.8367
1992-05-01,67.3781
1992-06-01,71.4197
1992-07-01,77.7263
1992-08-01,76.7791
1992-09-01,72.5681
1992-10-01,69.2363
1992-11-01,73.7175
1992-12-01,84.7818
1993-01-01,88.2287
1993-02-01,84.7919
1993-03-01,79.6885
1993-04-01,71.2731
1993-05-01,67.9111
1993-06-01,74.5503
1993-07-01,82.3366
1993-08-01,82.2906
1993-09-01,74.8323
1993-10-01,69.8758
1993-11-01,74.6278
1993-12-01,84.4669
1994-01-01,94.4017
1994-02-01,87.4053
1994-03-01,79.4751
1994-04-01,71.1817
1994-05-01,69.5934
1994-06-01,78.1988
1994-07-01,83.5287
1994-08-01,82.1321
1994-09-01,75.9181
1994-10-01,71.4802
1994-11-01,75.4754
1994-12-01,85.0772
1995-01-01,92.7412
1995-02-01,87.6670
1995-03-01,81.5205
1995-04-01,74.0457
1995-05-01,73.5003
1995-06-01,78.5503
1995-07-01,86.2425
1995-08-01,89.8063
1995-09-01,78.7442
1995-10-01,73.9353
1995-11-01,79.8903
1995-12-01,91.0933
1996-01-01,99.2688
1996-02-01,93.1691
1996-03-01,87.2075
1996-04-01,77.4715
1996-05-01,76.9337
1996-06-01,82.1958
1996-07-01,86.2321
1996-08-01,86.8240
1996-09-01,79.4425
1996-10-01,74.9110
1996-11-01,81.3000
1996-12-01,90.7530
1997-01-01,98.7482
1997-02-01,90.0486
1997-03-01,83.2671
1997-04-01,76.3793
1997-05-01,74.0777
1997-06-01,80.0138
1997-07-01,88.7168
1997-08-01,88.0487
1997-09-01,82.1801
1997-10-01,77.7266
1997-11-01,82.2802
1997-12-01,92.3623
1998-01-01,95.0701
1998-02-01,88.0838
1998-03-01,86.8125
1998-04-01,76.9828
1998-05-01,78.2652
1998-06-01,86.7123
1998-07-01,94.1078
1998-08-01,93.7954
1998-09-01,87.7915
1998-10-01,80.3296
1998-11-01,81.6742
1998-12-01,91.9551
1999-01-01,102.4467
1999-02-01,91.4671
1999-03-01,91.0236
1999-04-01,80.7497
1999-05-01,79.6373
1999-06-01,88.1204
1999-07-01,97.7757
1999-08-01,96.7014
1999-09-01,87.4885
1999-10-01,80.8647
1999-11-01,82.4395
1999-12-01,94.7746
2000-01-01,102.4971
2000-02-01,94.5218
2000-03-01,88.3463
2000-04-01,81.6662
2000-05-01,84.7235
2000-06-01,91.3293
2000-07-01,96.3011
2000-08-01,99.6734
2000-09-01,90.9515
2000-10-01,83.3780
2000-11-01,88.2458
2000-12-01,102.6901
2001-01-01,109.3416
2001-02-01,97.3953
2001-03-01,93.0564
2001-04-01,83.1332
2001-05-01,82.7827
2001-06-01,90.6648
2001-07-01,96.3283
2001-08-01,99.8132
2001-09-01,88.5136
2001-10-01,82.9006
2001-11-01,83.1461
2001-12-01,93.2796
2002-01-01,103.2604
2002-02-01,95.4593
2002-03-01,93.5100
2002-04-01,86.0517
2002-05-01,85.5043
2002-06-01,93.4856
2002-07-01,102.6936
2002-08-01,101.9121
2002-09-01,93.5608
2002-10-01,87.1293
2002-11-01,88.8047
2002-12-01,101.0439
2003-01-01,110.4292
2003-02-01,104.0828
2003-03-01,94.8015
2003-04-01,85.3124
2003-05-01,85.7418
2003-06-01,91.3695
2003-07-01,102.5243
2003-08-01,104.7716
2003-09-01,93.1841
2003-10-01,86.7534
2003-11-01,88.8280
2003-12-01,103.8162
2004-01-01,113.9960
2004-02-01,106.4378
2004-03-01,95.6626
2004-04-01,86.9849
2004-05-01,89.3240
2004-06-01,95.8104
2004-07-01,102.1007
2004-08-01,100.4992
2004-09-01,94.2998
2004-10-01,87.7732
2004-11-01,89.8297
2004-12-01,105.9787
2005-01-01,111.4496
2005-02-01,101.9498
2005-03-01,99.2324
2005-04-01,86.6793
2005-05-01,87.3784
2005-06-01,99.7382
2005-07-01,108.8005
2005-08-01,109.9901
2005-09-01,99.5563
2005-10-01,90.1695
2005-11-01,90.6297
2005-12-01,108.4977
2006-01-01,104.8128
2006-02-01,101.6310
2006-03-01,98.6932
2006-04-01,87.7035
2006-05-01,90.2388
2006-06-01,100.7836
2006-07-01,111.3696
2006-08-01,111.9898
2006-09-01,96.1212
2006-10-01,90.6869
2006-11-01,92.5922
2006-12-01,103.3658
2007-01-01,112.3854
2007-02-01,112.1298
2007-03-01,99.4689
2007-04-01,91.0450
2007-05-01,92.3001
2007-06-01,101.2636
2007-07-01,107.9356
2007-08-01,114.5031
2007-09-01,101.8592
2007-10-01,93.2820
2007-11-01,94.1475
2007-12-01,107.0407
2008-01-01,115.1667
2008-02-01,108.5191
2008-03-01,100.7094
2008-04-01,91.2095
2008-05-01,91.4432
2008-06-01,104.1756
2008-07-01,111.0800
2008-08-01,107.8943
2008-09-01,98.0097
2008-10-01,91.2396
2008-11-01,94.0320
2008-12-01,109.6582
2009-01-01,117.1039
2009-02-01,104.6583
2009-03-01,98.0042
